Bus,name
4915,DE1 0
4917,DE1 0
4918,DE1 0
4920,DE1 0
4923,DE1 0
4924,DE1 0
4925,DE1 0
4930,DE1 0
4931,DE1 0
4932,DE1 0
4937,DE1 0
4938,DE1 0
4941,DE1 0
4942,DE1 0
4944,DE1 0
4945,DE1 0
4946,DE1 0
4947,DE1 0
4948,DE1 0
4949,DE1 0
4950,GB0 Z12
4951,GB0 Z12
4952,GB0 Z14
4953,GB0 Z14
4955,GB0 Z12
4956,GB0 Z12
4958,GB0 Z14
4960,GB0 Z14
4961,GB0 Z14
4962,GB0 Z15
4963,GB0 Z14
4964,GB0 Z14
4965,GB0 Z15
4967,GB0 Z15
4968,GB0 Z15
4969,GB0 Z15
4970,GB0 Z15
4971,GB0 Z16
4972,GB0 Z15
4974,GB0 Z15
4975,GB0 Z15
4977,GB0 Z15
4979,GB0 Z15
4983,FR1 0
4985,FR1 0
4988,FR1 0
4989,FR1 0
4991,FR1 0
4992,FR1 0
4993,FR1 0
4996,FR1 0
4997,FR1 0
4999,FR1 0
5001,FR1 0
5003,FR1 0
5004,FR1 0
5006,FR1 0
5007,FR1 0
5009,FR1 0
5014,FR1 0
5015,FR1 0
5016,FR1 0
5017,FR1 0
5019,FR1 0
5020,FR1 0
5021,FR1 0
5024,FR1 0
5026,FR1 0
5027,FR1 0
5028,FR1 0
5030,FR1 0
5033,FR1 0
5034,FR1 0
5035,FR1 0
5036,FR1 0
5040,FR1 0
5042,FR1 0
5045,FR1 0
5046,FR1 0
5049,FR1 0
5050,FR1 0
5052,FR1 0
5054,FR1 0
5055,FR1 0
5056,FR1 0
5058,FR1 0
5061,NL1 0
5062,NL1 0
5069,BE1 0
5070,BE1 0
5071,BE1 0
5073,BE1 0
5075,BE1 0
5081,BE1 0
5082,BE1 0
5084,BE1 0
5085,BE1 0
5086,NL1 0
5087,NL1 0
5088,NL1 0
5089,NL1 0
5090,NL1 0
5091,NL1 0
5092,NL1 0
5128,FR1 0
5093,NL1 0
5094,NL1 0
5095,NL1 0
5097,BE1 0
5098,BE1 0
5099,BE1 0
5100,BE1 0
5102,BE1 0
5105,NL1 0
5106,NL1 0
5107,BE1 0
5108,BE1 0
5111,FR1 0
5112,FR1 0
5113,FR1 0
5114,FR1 0
5115,FR1 0
5117,FR1 0
5119,FR1 0
5120,FR1 0
5122,FR1 0
5124,FR1 0
5126,FR1 0
5127,FR1 0
5130,FR1 0
5132,FR1 0
5134,FR1 0
5137,FR1 0
5139,FR1 0
5140,FR1 0
5141,FR1 0
5143,FR1 0
5144,FR1 0
5147,FR1 0
5151,FR1 0
5153,BE1 0
5160,FR1 0
5162,FR1 0
5164,BE1 0
5165,BE1 0
5166,BE1 0
5168,BE1 0
5169,BE1 0
5170,FR1 0
5171,FR1 0
5174,FR1 0
5176,FR1 0
5179,FR1 0
5182,FR1 0
5183,GB0 Z13
5185,GB0 Z13
5187,GB0 Z13
5188,GB0 Z13
5189,GB0 Z13
5191,GB0 Z13
5192,GB0 Z13
5193,GB0 Z13
5194,GB0 Z17
5195,GB0 Z13
5198,GB0 Z13
5200,GB0 Z13
5202,GB0 Z17
5203,GB0 Z17
5204,GB0 Z17
5206,GB0 Z17
5207,GB0 Z17
5208,GB0 Z17
5209,GB0 Z17
5212,GB0 Z11
5213,GB0 Z11
5214,GB0 Z11
5215,GB0 Z13
5217,GB0 Z11
5218,GB0 Z11
5219,GB0 Z11
5221,GB0 Z11
5222,GB0 Z11
5223,GB0 Z11
5224,GB0 Z13
5225,GB0 Z13
5226,GB0 Z13
5228,GB0 Z13
5229,GB0 Z17
5230,GB0 Z16
5231,GB0 Z16
5233,GB0 Z11
5234,GB0 Z13
